,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%,Season
0,CHI,26.8,48,36,7,5,77,0.802,149,97,1.04,-0.07,3.1,2.02,25,150,16.67,18,141,87.23,5,5,1494,10.0,1258,0.923,101.7,7,54.1,2013
1,BOS,27.8,48,28,14,6,62,0.646,127,106,0.44,-0.02,2.65,2.21,18,122,14.75,21,163,87.12,5,2,1557,8.2,1373,0.923,100.5,6,54.3,2013
2,LAK,26.5,48,27,16,5,59,0.615,131,114,0.29,-0.02,2.73,2.38,33,166,19.88,27,161,83.23,2,1,1431,9.2,1198,0.905,99.2,2,56.3,2013
3,PIT,29.0,48,36,12,0,72,0.75,162,119,0.91,-0.05,3.38,2.48,42,170,24.71,34,167,79.64,2,3,1438,11.3,1403,0.915,102.5,5,49.0,2013
4,LAK,27.4,82,46,28,8,100,0.61,198,168,0.4,0.01,2.41,2.05,43,284,15.14,50,296,83.11,5,6,2595,7.6,2148,0.922,100.1,13,56.8,2014
5,NYR,27.4,82,45,31,6,96,0.585,214,190,0.26,-0.04,2.61,2.32,48,264,18.18,34,232,85.34,10,7,2719,7.9,2412,0.921,99.8,8,52.4,2014
6,MTL,28.3,82,46,28,8,100,0.61,209,201,0.08,-0.05,2.55,2.45,48,279,17.2,43,289,85.12,6,8,2330,9.0,2541,0.921,100.5,8,46.7,2014
7,CHI,27.5,82,46,21,15,107,0.652,261,212,0.6,0.02,3.18,2.59,50,257,19.46,46,248,81.45,9,6,2715,9.6,2229,0.905,99.9,3,55.5,2014
8,CHI,29.3,82,48,28,6,102,0.622,220,186,0.51,0.02,2.68,2.27,46,260,17.69,35,211,83.41,3,7,2777,7.9,2477,0.925,100.3,5,53.6,2015
9,TBL,26.9,82,50,24,8,108,0.659,259,206,0.57,-0.06,3.16,2.51,53,282,18.79,42,257,83.66,7,6,2428,10.7,2287,0.91,100.8,5,52.6,2015
10,NYR,29.4,82,53,22,7,113,0.689,248,187,0.69,-0.04,3.02,2.28,39,232,16.81,37,235,84.26,9,6,2582,9.6,2418,0.923,101.7,11,49.5,2015
11,ANA,27.0,82,51,24,7,109,0.665,228,221,0.1,-0.03,2.78,2.7,37,236,15.68,52,274,81.02,9,6,2458,9.3,2367,0.907,100.2,4,51.3,2015
